INDEX,TEAM,SCORING OFFENSE,SCORING DEFENSE,SEASON,,
0,PIT,1.769230769,-0.762820513,2009,,
1,CLE,-5.564102564,3.28525641,2009,,
2,NO,12.33012821,1.330128205,2009,,
3,TB,-5.073717949,2.490384615,2009,,
4,HOU,3.21474359,-0.349358974,2009,,
5,IND,5.150641026,-1.580128205,2009,,
6,CIN,-2.416666667,-2.862179487,2009,,
7,CAR,-1.483974359,-4.650641026,2009,,
8,BAL,4.288461538,-5.282051282,2009,,
9,ATL,2.230769231,-2.403846154,2009,,
10,ARI,0.967948718,0.278846154,2009,,
11,SEA,-5.189102564,4.576923077,2009,,
12,NYG,2.794871795,4.608974359,2009,,
13,GB,8.003205128,-1.602564103,2009,,
14,NE,7.810897436,-4.298076923,2009,,
15,LV,-8.810897436,2.782051282,2009,,
16,DET,-4.913461538,9.108974359,2009,,
17,WAS,-5.634615385,-0.730769231,2009,,
18,TEN,1.416666667,3.737179487,2009,,
19,PHI,5.548076923,-0.259615385,2009,,
20,NYJ,0.782051282,-8.967948718,2009,,
21,KC,-2.753205128,5.826923077,2009,,
22,JAX,-5.333333333,3.461538462,2009,,
23,SF,-3.076923077,-2.894230769,2009,,
24,BUF,-6.041666667,-2.125,2009,,
25,LAC,6.368589744,0.259615385,2009,,
26,DEN,-1.766025641,-2.759615385,2009,,
27,CHI,-3,1.349358974,2009,,
28,DAL,0.717948718,-6.275641026,2009,,
29,MIA,1.570512821,1.820512821,2009,,
30,MIN,7.096153846,-1.349358974,2009,,
31,LAR,-11.00320513,4.237179487,2009,,
32,PIT,1.923076923,-7.272435897,2010,,
33,CLE,-3.862179487,-2.967948718,2010,,
34,NO,2.28525641,-0.128205128,2010,,
35,TB,-0.932692308,-0.810897436,2010,,
36,HOU,1.900641026,4.230769231,2010,,
37,IND,3.256410256,-0.576923077,2010,,
38,CIN,1.092948718,3.429487179,2010,,
39,CAR,-9.08974359,3.916666667,2010,,
40,BAL,2.016025641,-4.08974359,2010,,
41,ATL,4.294871795,-2.926282051,2010,,
42,ARI,-3.647435897,6.336538462,2010,,
43,SEA,-3.496794872,6.21474359,2010,,
44,NYG,1.054487179,-1.355769231,2010,,
45,GB,3.689102564,-7.756410256,2010,,
46,NE,12.05128205,-1.336538462,2010,,
47,LV,0.173076923,2.766025641,2010,,
48,DET,3.442307692,2.009615385,2010,,
49,WAS,-3.756410256,-0.349358974,2010,,
50,TEN,0.025641026,-1.855769231,2010,,
51,PHI,5.096153846,1.067307692,2010,,
52,NYJ,1.182692308,-3.301282051,2010,,
53,KC,0.112179487,-2.592948718,2010,,
54,JAX,-1.099358974,3.182692308,2010,,
55,SF,-5.288461538,0.233974359,2010,,
56,BUF,-1.724358974,3.599358974,2010,,
57,LAC,3.737179487,-2.929487179,2010,,
58,DEN,-1.836538462,6.275641026,2010,,
59,CHI,-2.253205128,-3.657051282,2010,,
60,DAL,1.900641026,4.919871795,2010,,
61,MIA,-3.096153846,-2.746794872,2010,,
62,MIN,-4.179487179,-2.730769231,2010,,
63,LAR,-4.971153846,1.201923077,2010,,
64,PIT,0.054487179,-5.948717949,2011,,
65,CLE,-6.858974359,-0.942307692,2011,,
66,NO,13.2275641,0.788461538,2011,,
67,TB,-5.092948718,6.557692308,2011,,
68,HOU,1.564102564,-3.525641026,2011,,
69,IND,-5.807692308,6.605769231,2011,,
70,CIN,1.230769231,-0.169871795,2011,,
71,CAR,1.625,3.326923077,2011,,
72,BAL,2.445512821,-3.016025641,2011,,
73,ATL,1.503205128,-2.993589744,2011,,
74,ARI,-1.125,1.708333333,2011,,
75,SEA,-0.602564103,-1.025641026,2011,,
76,NYG,3.929487179,1.814102564,2011,,
77,GB,10.59615385,-0.048076923,2011,,
78,NE,8.753205128,-0.298076923,2011,,
79,LV,0.560897436,4.256410256,2011,,
80,DET,9.006410256,0.836538462,2011,,
81,WAS,-4.951923077,0.932692308,2011,,
82,TEN,-1.461538462,-2.407051282,2011,,
83,PHI,3.429487179,0.211538462,2011,,
84,NYJ,1.182692308,0.759615385,2011,,
85,KC,-11.57051282,-1.025641026,2011,,
86,JAX,-7.333333333,-0.993589744,2011,,
87,SF,1.647435897,-7.205128205,2011,,
88,BUF,1.189102564,3.487179487,2011,,
89,LAC,3.233974359,0.676282051,2011,,
90,DEN,-4.019230769,1.644230769,2011,,
91,CHI,-3.358974359,-3.21474359,2011,,
92,DAL,1.615384615,-2.262820513,2011,,
93,MIA,-3.137820513,-3.615384615,2011,,
94,MIN,-2.301282051,3.426282051,2011,,
95,LAR,-9.173076923,1.66025641,2011,,
96,PIT,-2.048076923,-1.336538462,2012,,
97,CLE,-5.544871795,0.378205128,2012,,
98,NO,5.833333333,5.996794872,2012,,
99,TB,1.852564103,1.993589744,2012,,
100,HOU,2.483974359,-2.262820513,2012,,
101,IND,-1.471153846,3.740384615,2012,,
102,CIN,1.782051282,-2.875,2012,,
103,CAR,-2.054487179,-1.935897436,2012,,
104,BAL,2.467948718,-0.708333333,2012,,
105,ATL,2.567307692,-5.503205128,2012,,
106,ARI,-4.778846154,-3.134615385,2012,,
107,SEA,4.070512821,-7.362179487,2012,,
108,NYG,4.916666667,-2.349358974,2012,,
109,GB,4.740384615,-1.509615385,2012,,
110,NE,12.89102564,-0.644230769,2012,,
111,LV,-3.919871795,7.570512821,2012,,
112,DET,2.948717949,6.368589744,2012,,
113,WAS,4.557692308,1.961538462,2012,,
114,TEN,-2.128205128,8.121794872,2012,,
115,PHI,-5.724358974,2.814102564,2012,,
116,NYJ,-6.378205128,-0.416666667,2012,,
117,KC,-9.782051282,2.942307692,2012,,
118,JAX,-8.75,4.400641026,2012,,
119,SF,4.266025641,-7.182692308,2012,,
120,BUF,-1.669871795,5.868589744,2012,,
121,LAC,-3.125,-0.766025641,2012,,
122,DEN,7.516025641,-4.512820513,2012,,
123,CHI,1.519230769,-5.483974359,2012,,
124,DAL,0.519230769,0.092948718,2012,,
125,MIA,-5.054487179,-2.076923077,2012,,
126,MIN,1.099358974,-1.471153846,2012,,
127,LAR,-3.602564103,-0.717948718,2012,,
128,PIT,-0.612179487,0.916666667,2013,,
129,CLE,-4.349358974,3.243589744,2013,,
130,NO,4.5,-3.942307692,2013,,
131,TB,-3.903846154,-0.913461538,2013,,
132,HOU,-4.516025641,2.993589744,2013,,
133,IND,1.717948718,-1.557692308,2013,,
134,CIN,3.128205128,-4.711538462,2013,,
135,CAR,0.16025641,-8.333333333,2013,,
136,BAL,-4.990384615,-2.516025641,2013,,
137,ATL,0.977564103,5.064102564,2013,,
138,ARI,1.560897436,-3.461538462,2013,,
139,SEA,3.96474359,-7.695512821,2013,,
140,NYG,-7.429487179,-2.073717949,2013,,
141,GB,0.849358974,2.679487179,2013,,
142,NE,5.753205128,-1.766025641,2013,,
143,LV,-5.009615385,3.817307692,2013,,
144,DET,-1.080128205,0.467948718,2013,,
145,WAS,-3.820512821,5.105769231,2013,,
146,TEN,0.429487179,0.179487179,2013,,
147,PHI,4.185897436,0.137820513,2013,,
148,NYJ,-4.865384615,2.169871795,2013,,
149,KC,-0.528846154,-6.455128205,2013,,
150,JAX,-7.538461538,5.227564103,2013,,
151,SF,2.724358974,-5.971153846,2013,,
152,BUF,-1.836538462,3.070512821,2013,,
153,LAC,-0.33974359,-2.961538462,2013,,
154,DEN,16.10576923,3.5,2013,,
155,CHI,3.333333333,6.445512821,2013,,
156,DAL,3.064102564,3.618589744,2013,,
157,MIA,-2.631410256,-1.503205128,2013,,
158,MIN,0.570512821,6.483974359,2013,,
159,LAR,0.426282051,-1.259615385,2013,,
160,PIT,4.262820513,1.810897436,2014,,
161,CLE,-5.445512821,-0.032051282,2014,,
162,NO,2.983974359,3.432692308,2014,,
163,TB,-6.650641026,1.900641026,2014,,
164,HOU,-1.451923077,-3.519230769,2014,,
165,IND,5.823717949,1.269230769,2014,,
166,CIN,0.032051282,-1.926282051,2014,,
167,CAR,-2.169871795,1.5,2014,,
168,BAL,2.756410256,-3.817307692,2014,,
169,ATL,0.131410256,4.58974359,2014,,
170,ARI,-2.608974359,-4.503205128,2014,,
171,SEA,2.278846154,-6.25,2014,,
172,NYG,1.163461538,3.032051282,2014,,
173,GB,7.413461538,0.198717949,2014,,
174,NE,8.153846154,-3.948717949,2014,,
175,LV,-5.487179487,5.272435897,2014,,
176,DET,-3.727564103,-4.538461538,2014,,
177,WAS,-4.5,4.105769231,2014,,
178,TEN,-7.592948718,3.897435897,2014,,
179,PHI,6.58974359,2.900641026,2014,,
180,NYJ,-5.336538462,1.330128205,2014,,
181,KC,0.237179487,-5.493589744,2014,,
182,JAX,-7.519230769,2.118589744,2014,,
183,SF,-3.019230769,-1.573717949,2014,,
184,BUF,-2.016025641,-4.935897436,2014,,
185,LAC,1.522435897,-0.673076923,2014,,
186,DEN,8.721153846,1.144230769,2014,,
187,CHI,-1.657051282,4.599358974,2014,,
188,DAL,6.205128205,-0.701923077,2014,,
189,MIA,3.474358974,0.599358974,2014,,
190,MIN,-1.528846154,-0.862179487,2014,,
191,LAR,-1.038461538,-0.926282051,2014,,
192,PIT,5.935897436,-2.125,2015,,
193,CLE,-3.801282051,3.230769231,2015,,
194,NO,1.371794872,8.432692308,2015,,
195,TB,-3.352564103,4.227564103,2015,,
196,HOU,-2.775641026,-2.91025641,2015,,
197,IND,-2.657051282,1.676282051,2015,,
198,CIN,4.782051282,-4.955128205,2015,,
199,CAR,6.926282051,-3.240384615,2015,,
200,BAL,-2.487179487,2.150641026,2015,,
201,ATL,-2.576923077,-1.403846154,2015,,
202,ARI,9.051282051,-2.467948718,2015,,
203,SEA,4.663461538,-6.044871795,2015,,
204,NYG,4.358974359,5.775641026,2015,,
205,GB,1.955128205,-2.458333333,2015,,
206,NE,6.634615385,-3.051282051,2015,,
207,LV,1.198717949,3.314102564,2015,,
208,DET,-0.108974359,2.320512821,2015,,
209,WAS,0.548076923,1.025641026,2015,,
210,TEN,-5.858974359,2.503205128,2015,,
211,PHI,-0.224358974,3.233974359,2015,,
212,NYJ,-0.403846154,-3.099358974,2015,,
213,KC,2.862179487,-3.830128205,2015,,
214,JAX,-0.134615385,6.03525641,2015,,
215,SF,-6.233974359,0.483974359,2015,,
216,BUF,-0.275641026,-0.083333333,2015,,
217,LAC,-0.788461538,2.394230769,2015,,
218,DEN,0.227564103,-4.480769231,2015,,
219,CHI,-1.006410256,1.458333333,2015,,
220,DAL,-7.576923077,-1.769230769,2015,,
221,MIA,-4.445512821,0.551282051,2015,,
222,MIN,0.269230769,-4.333333333,2015,,
223,LAR,-6.076923077,-2.560897436,2015,,
224,PIT,3.943181818,-1.91958042,2016,,
225,CLE,-4.618055556,5.670138889,2016,,
226,NO,7.321678322,5.076340326,2016,,
227,TB,-1.698717949,-0.810897436,2016,,
228,HOU,-6.157051282,-2.830128205,2016,,
229,IND,3.666666667,2.903846154,2016,,
230,CIN,-1.160547786,-1.776223776,2016,,
231,CAR,-0.586538462,0.192307692,2016,,
232,BAL,-0.81993007,-2.333624709,2016,,
233,ATL,9.631410256,1.189102564,2016,,
234,ARI,3.21474359,0.673076923,2016,,
235,SEA,-1.583333333,-5.076923077,2016,,
236,NYG,-4.309027778,-5.215277778,2016,,
237,GB,5.263403263,2.503205128,2016,,
238,NE,4.930652681,-5.417249417,2016,,
239,LV,5.195512821,0.759615385,2016,,
240,DET,-0.932400932,0.516608392,2016,,
241,WAS,3.319055944,1.866550117,2016,,
242,TEN,0.841200466,0.824300699,2016,,
243,PHI,0.967365967,-3.03962704,2016,,
244,NYJ,-6.673076923,2.899184149,2016,,
245,KC,-1.16025641,-4.448717949,2016,,
246,JAX,-3.903846154,2.608974359,2016,,
247,SF,-4.371794872,8.657051282,2016,,
248,BUF,2.187062937,1.323135198,2016,,
249,LAC,2.671328671,3.093240093,2016,,
250,DEN,-2.516025641,-7.253205128,2016,,
251,CHI,-5.561188811,3.33041958,2016,,
252,DAL,5.04516317,-2.897144522,2016,,
253,MIA,-1.814685315,1.303321678,2016,,
254,MIN,-2.361013986,-3.846445221,2016,,
255,LAR,-8.657634033,1.509615385,2016,,
256,PIT,3.394230769,-3.009615385,2017,,
257,CLE,-7.208333333,4.025641026,2017,,
258,NO,6.935897436,-1.682692308,2017,,
259,TB,-0.182692308,2.266025641,2017,,
260,HOU,0.092948718,5.375,2017,,
261,IND,-5.689102564,4.118589744,2017,,
262,CIN,-5.080128205,1.118589744,2017,,
263,CAR,2.375,-2.451923077,2017,,
264,BAL,2.208333333,-1.724358974,2017,,
265,ATL,0.333333333,-2.669871795,2017,,
266,ARI,-4.144230769,-0.384615385,2017,,
267,SEA,1.480769231,-0.932692308,2017,,
268,NYG,-7.400641026,1.423076923,2017,,
269,GB,-0.08974359,2.169871795,2017,,
270,NE,7.185897436,-2.435897436,2017,,
271,LV,-2.692307692,1.862179487,2017,,
272,DET,4.503205128,4.060897436,2017,,
273,WAS,1.022435897,0.503205128,2017,,
274,TEN,-2.602564103,1.03525641,2017,,
275,PHI,7.419871795,-3.413461538,2017,,
276,NYJ,-3.301282051,2.362179487,2017,,
277,KC,3.435897436,0.532051282,2017,,
278,JAX,3.570512821,-3.778846154,2017,,
279,SF,-1.03525641,2.451923077,2017,,
280,BUF,-3.301282051,0.705128205,2017,,
281,LAC,0.663461538,-4.762820513,2017,,
282,DEN,-3.974358974,3.288461538,2017,,
283,CHI,-5.243589744,-4.461538462,2017,,
284,DAL,0.099358974,-0.057692308,2017,,
285,MIA,-4.733974359,2.217948718,2017,,
286,MIN,3.375,-6.403846154,2017,,
287,LAR,8.583333333,-1.346153846,2017,,
288,PIT,3.843118687,-1.516098485,2018,,
289,CLE,-1.923076923,-1.098484848,2018,,
290,NO,9.405934343,-4.141098485,2018,,
291,TB,0.769886364,4.228535354,2018,,
292,HOU,2.170138889,-1.412878788,2018,,
293,IND,4.310290404,0.65530303,2018,,
294,CIN,-0.386072261,4.530885781,2018,,
295,CAR,0.185606061,0.976107226,2018,,
296,BAL,-0.174873737,-7.488005051,2018,,
297,ATL,1.940559441,3.846153846,2018,,
298,ARI,-11.35314685,2.076340326,2018,,
299,SEA,1.747790404,-3.234532828,2018,,
300,NYG,-0.370580808,2.338699495,2018,,
301,GB,0.576073232,1.302083333,2018,,
302,NE,3.621212121,-1.097027972,2018,,
303,LV,-4.806818182,5.671328671,2018,,
304,DET,-3.265151515,0.990384615,2018,,
305,WAS,-4.627840909,-1.332070707,2018,,
306,TEN,-3.146464646,-4.292613636,2018,,
307,PHI,-0.804608586,-0.826704545,2018,,
308,NYJ,-0.13415404,4.195391414,2018,,
309,KC,13.32102273,4.543244949,2018,,
310,JAX,-6.35479798,-2.067234848,2018,,
311,SF,-2.528409091,2.583964646,2018,,
312,BUF,-8.143356643,0.621212121,2018,,
313,LAC,4.306186869,-1.875631313,2018,,
314,DEN,-2.810606061,-4.087412587,2018,,
315,CHI,3.150883838,-3.803030303,2018,,
316,DAL,-3.40719697,-4.528093434,2018,,
317,MIA,-1.94665404,5.252525253,2018,,
318,MIN,-0.756701632,-1.742715618,2018,,
319,LAR,9.138403263,-0.146853147,2018,,
