Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
2-03226-0053,1 FORDHAM HILL OVAL,KINGSBRIDGE HTS/UNIV HTS,D4  -ELEVATOR,     1119,1950,1171970,15751277,     13.44,8192070,6.99,7559207,53485000,     45.64
2-03218-0074,2265 DR M L KING JR BOULEVARD,KINGSBRIDGE HTS/UNIV HTS,D4  -ELEVATOR,       42,1936,46440,731894,     15.76,378950,8.16,352944,2611000,     56.22
2-03225-0022,2295 ANDREWS AVENUE NORTH,KINGSBRIDGE HTS/UNIV HTS,C6  -WALK-UP,       36,1922,41107,619071,     15.06,358453,8.72,260618,1906000,     46.37
2-03209-0045,2333 GRAND AVENUE,KINGSBRIDGE HTS/UNIV HTS,D4  -ELEVATOR,       44,1926,40428,832008,     20.58,458858,11.35,373150,2914000,     72.08
2-03199-0062,2400 DAVIDSON AVENUE,KINGSBRIDGE HTS/UNIV HTS,C6  -WALK-UP,       52,1923,40000,826400,     20.66,479200,11.98,347200,2713000,     67.83
2-03199-0066,2410 DAVIDSON AVENUE,KINGSBRIDGE HTS/UNIV HTS,C6  -WALK-UP,       51,1923,40000,826400,     20.66,479200,11.98,347200,2713000,     67.83
2-03219-0201,2471 UNIVERSITY AVENUE,KINGSBRIDGE HTS/UNIV HTS,C6  -WALK-UP,       20,1915,21750,273833,     12.59,156165,7.18,117668,816000,     37.52
2-03201-0003,2506 DAVIDSON AVENUE,KINGSBRIDGE HTS/UNIV HTS,D4  -ELEVATOR,       42,1941,37000,503940,     13.62,277130,7.49,226810,1612000,     43.57
2-03237-0145,2545 SEDGWICK AVENUE,KINGSBRIDGE HTS/UNIV HTS,D4  -ELEVATOR,       62,1964,71640,1114002,     15.55,561658,7.84,552344,4075000,     56.88
2-03237-0067,2630 KINGSBRIDGE TERRACE,KINGSBRIDGE HTS/UNIV HTS,D4  -ELEVATOR,      185,1955,200000,3134000,     15.67,1568000,7.84,1566000,11549000,     57.75
2-03212-0092,55 WEST 184 STREET,KINGSBRIDGE HTS/UNIV HTS,C6  -WALK-UP,       27,1926,19395,282585,     14.57,135571,6.99,147014,1065000,     54.91
2-03252-0361,100 VAN CORTLANDT PARK SOUTH,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      115,1932,120000,1563600,     13.03,813600,6.78,750000,5259000,     43.83
2-03252-0340,120 GALE PLACE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      282,1949,351827,4946688,     14.06,2702031,7.68,2244656,16107000,     45.78
2-03271-0210,180 VAN CORTLANDT PARK SOUTH,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       73,1956,78864,1459773,     18.51,919554,11.66,540218,4140000,     52.50
2-03250-0040,2835 WEBB AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       73,1959,83000,1196030,     14.41,714630,8.61,481400,3478000,     41.90
2-03260-0005,2860 BAILEY AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       78,1955,77760,1230941,     15.83,467338,6.01,763603,5631000,     72.42
2-03256-0156,2865 KINGSBRIDGE TERRACE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      106,1965,111300,1737393,     15.61,1094079,9.83,643314,4746000,     42.64
2-03253-0255,2875 SEDGWICK AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       85,1927,107220,1481780,     13.82,902792,8.42,578988,4118000,     38.41
2-05767-0798,288 WEST 238 STREET,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       74,1962,69848,1107789,     15.86,602090,8.62,505700,3747000,     53.65
2-05713-0107,290 WEST 232 STREET,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      117,1966,122000,1855620,     15.21,910120,7.46,945500,6934000,     56.84
2-03253-0221,3065 SEDGWICK AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       73,1960,75390,1038120,     13.77,539792,7.16,498328,3553000,     47.13
2-03267-0060,3119 BAILEY AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       66,1961,65000,1025050,     15.77,575900,8.86,449150,3324000,     51.14
2-03267-0056,3123 BAILEY AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       53,1964,43645,775135,     17.76,422047,9.67,353088,2684000,     61.50
2-05714-0164,3130 IRWIN AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      225,1961,234000,3219840,     13.76,1696500,7.25,1523340,10861000,     46.41
2-05758-0442,315 WEST 232 STREET,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       72,1974,75747,1367233,     18.05,808220,10.67,559013,4265000,     56.31
2-05759-0364,3240 RIVERDALE AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       66,1970,67987,1225126,     18.02,610523,8.98,614602,4686000,     68.92
2-03258-0013,3311 GILES PLACE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      100,1962,101500,1838165,     18.11,932785,9.19,905380,6899000,     67.97
2-03255-0065,3355 SEDGWICK AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      135,1963,124045,2188154,     17.64,1220603,9.84,967551,7343000,     59.20
2-03258-0073,3400 FT INDEPENDENCE STREET,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      171,1965,232808,3401325,     14.61,2176755,9.35,1224570,8882000,     38.15
2-03251-0420,3400 PAUL AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      352,1967,381213,4826157,     12.66,2653242,6.96,2172914,15075000,     39.54
2-05764-0642,3475 GREYSTONE AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       57,1957,61187,1100754,     17.99,495615,8.1,605139,4616000,     75.44
2-05770-0069,3636 GREYSTONE AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       93,1940,118214,1951713,     16.51,819223,6.93,1132490,8469000,     71.64
2-05777-0772,3800 WALDO AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      173,1966,154640,2180424,     14.10,1238666,8.01,941758,6763000,     43.73
2-03263-0235,3840 CANNON PLACE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      171,1958,170350,2826107,     16.59,1809117,10.62,1016990,7623000,     44.75
2-03246-0056,3850 SEDGWICK AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      122,1955,141055,1977591,     14.02,1166525,8.27,811066,5810000,     41.19
2-05778-0879,3875 WALDO AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      105,1931,150000,2328000,     15.52,1374000,9.16,954000,7036000,     46.91
2-03263-0085,3900 BAILEY AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      188,1963,247530,4472867,     18.07,2608966,10.54,1863901,14222000,     57.46
2-03263-0067,3915 ORLOFF AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      104,1957,115000,1484650,     12.91,841800,7.32,642850,4490000,     39.04
2-03252-0117,3960 SEDGWICK AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      140,1950,186000,2499840,     13.44,1474980,7.93,1024860,7251000,     38.98
2-03252-0052,3965 SEDGWICK AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      319,1968,425070,5636428,     13.26,3549335,8.35,2087094,14702000,     34.59
2-03252-0276,3980 ORLOFF AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      151,1950,155477,2268409,     14.59,1445936,9.3,822473,5947000,     38.25
2-03252-0237,3989 HILLMAN AVENUE,KINGSBRIDGE/JEROME PARK,C6  -WALK-UP,       48,1941,30552,602791,     19.73,337600,11.05,265191,2056000,     67.30
2-03252-0135,4016 HILLMAN AVENUE,KINGSBRIDGE/JEROME PARK,C6  -WALK-UP,       30,1947,31150,389064,     12.49,124600,4,264464,1828000,     58.68
2-05783-0300,511 WEST 232 STREET,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       66,1937,69441,1009672,     14.54,484698,6.98,524974,3803000,     54.77
2-03252-0143,74 VAN CORTLANDT PARK SOUTH,KINGSBRIDGE/JEROME PARK,C6  -WALK-UP,       55,1928,76320,920419,     12.06,441893,5.79,478526,3266000,     42.79
2-03263-0225,75 WEST 238 STREET,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       72,1960,77000,1207360,     15.68,725340,9.42,482020,3561000,     46.25
2-03252-0209,80 GOUVERNEUR AVENUE,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      207,1930,197406,2566278,     13.00,1650314,8.36,915964,6414000,     32.49
2-03252-0268,91 VAN CORTLANDT AVENUE E,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,       50,1963,55800,677412,     12.14,399528,7.16,277884,1900000,     34.05
2-03252-0287,92 VAN CORTLANDT PARK SOUTH,KINGSBRIDGE/JEROME PARK,D4  -ELEVATOR,      145,1949,150500,2177735,     14.47,1399650,9.3,778085,5628000,     37.40
2-02471-0050,1001 GRAND CONCOURSE,MELROSE/CONCOURSE,D4  -ELEVATOR,       81,1941,92417,1280900,     13.86,691279,7.48,589620,4161000,     45.02
2-02447-0001,1010 SHERMAN AVENUE,MELROSE/CONCOURSE,D4  -ELEVATOR,       67,1958,80009,1270543,     15.88,788089,9.85,482454,3580000,     44.74
2-02471-0036,1015 GRAND CONCOURSE,MELROSE/CONCOURSE,D4  -ELEVATOR,       61,1941,75000,1053000,     14.04,510000,6.8,543000,3894000,     51.92
2-02461-0094,1020 GRAND CONCOURSE,MELROSE/CONCOURSE,D4  -ELEVATOR,      466,1963,428360,6335444,     14.79,3238402,7.56,3097043,22539000,     52.62
2-02477-0015,1040 GERARD AVENUE,MELROSE/CONCOURSE,D4  -ELEVATOR,       52,1959,45786,674886,     14.74,404748,8.84,270137,1962000,     42.85
2-02472-0011,1075 GRAND CONCOURSE,MELROSE/CONCOURSE,D4  -ELEVATOR,      109,1928,118218,1528559,     12.93,948108,8.02,580450,4060000,     34.34
2-02462-0033,1100 GRAND CONCOURSE,MELROSE/CONCOURSE,D4  -ELEVATOR,       74,1928,107841,1513009,     14.03,967334,8.97,545675,3913000,     36.28
2-02452-0029,1113 GRANT AVENUE,MELROSE/CONCOURSE,C6  -WALK-UP,       70,1926,57080,706650,     12.38,395564,6.93,311086,2143000,     37.54
2-02488-0036,1175 GERARD AVENUE,MELROSE/CONCOURSE,C6  -WALK-UP,       44,1924,51000,798660,     15.66,489090,9.59,309570,2287000,     44.84
2-02430-0035,1187 CLAY AVENUE,MELROSE/CONCOURSE,C6  -WALK-UP,       12,1913,11500,192165,     16.71,86480,7.52,105685,793000,     68.96
2-02464-0023,1235 GRAND CONCOURSE,MELROSE/CONCOURSE,D4  -ELEVATOR,      131,1929,181700,2422061,     13.33,1549901,8.53,872160,6155000,     33.87
2-02453-0068,1275 GRANT AVENUE,MELROSE/CONCOURSE,D4  -ELEVATOR,       81,2008,93570,1416650,     15.14,804702,8.6,611948,4481000,     47.89
2-02461-0083,185 EAST 163 STREET,MELROSE/CONCOURSE,D4  -ELEVATOR,       42,1927,45483,619478,     13.62,387970,8.53,231508,1645000,     36.17
2-02456-0030,201 EAST 165 STREET,MELROSE/CONCOURSE,C6  -WALK-UP,       31,1918,19955,419853,     21.04,234671,11.76,185182,1451000,     72.71
2-02421-0013,270 EAST 162 STREET,MELROSE/CONCOURSE,C6  -WALK-UP,       11,1931,10675,139202,     13.04,84973,7.96,54229,380000,     35.60
2-02410-0031,318 EAST 151 STREET,MELROSE/CONCOURSE,C6  -WALK-UP,       12,1918,6948,125620,     18.08,62810,9.04,62810,479000,     68.94
2-02410-0032,320 EAST 151 STREET,MELROSE/CONCOURSE,C6  -WALK-UP,       12,1918,7560,136685,     18.08,69023,9.13,67662,516000,     68.25
2-02473-0067,660 WALTON AVENUE,MELROSE/CONCOURSE,D4  -ELEVATOR,       83,1936,119500,1690925,     14.15,1021725,8.55,669200,4809000,     40.24
2-02443-0170,773 CONCOURSE VILLAGE EAST,MELROSE/CONCOURSE,D4  -ELEVATOR,      937,1964,876500,14567430,     16.62,8694880,9.92,5872550,44002000,     50.20
2-02443-9080,790 CONCOURSE VILLAGE WEST,MELROSE/CONCOURSE,D4  -ELEVATOR,      936,1963,862500,14248500,     16.52,7693500,8.92,6555000,49056000,     56.88
2-02458-0090,800 GRAND CONCOURSE,MELROSE/CONCOURSE,D4  -ELEVATOR,      260,1954,252105,3471486,     13.77,1870619,7.42,1600867,11410000,     45.26
2-02474-0015,825 WALTON AVENUE,MELROSE/CONCOURSE,D4  -ELEVATOR,       54,1924,44304,575066,     12.98,305255,6.89,269811,1889000,     42.64
2-02474-0010,828 GERARD AVENUE,MELROSE/CONCOURSE,D4  -ELEVATOR,       54,1924,42660,642460,     15.06,395032,9.26,247428,1809000,     42.41
2-02479-0001,85 MCCLELLAN STREET,MELROSE/CONCOURSE,D4  -ELEVATOR,       59,1940,56400,865740,     15.35,536928,9.52,328812,2418000,     42.87
2-02459-0030,860 GRAND CONCOURSE,MELROSE/CONCOURSE,D4  -ELEVATOR,      120,1941,115140,1751279,     15.21,1068499,9.28,682780,5009000,     43.50
2-02461-0045,940 GRAND CONCOURSE,MELROSE/CONCOURSE,D4  -ELEVATOR,      108,1929,145728,1818685,     12.48,1164367,7.99,654319,4523000,     31.04
2-02422-0030,943 TELLER AVENUE,MELROSE/CONCOURSE,C6  -WALK-UP,       37,1920,33055,494503,     14.96,294851,8.92,199652,1458000,     44.11
2-04256-0003,1944 UNIONPORT ROAD,MORRIS PARK/VAN NEST,D4  -ELEVATOR,       79,1927,56634,843280,     14.89,519900,9.18,323380,2358000,     41.64
2-04256-0008,1954 UNIONPORT ROAD,MORRIS PARK/VAN NEST,D4  -ELEVATOR,       83,1928,63540,1047775,     16.49,615067,9.68,432707,3237000,     50.94
2-04289-0035,754 BRADY AVENUE,MORRIS PARK/VAN NEST,D4  -ELEVATOR,       59,1932,75260,1099549,     14.61,520047,6.91,579502,4204000,     55.86
2-04289-0050,758 BRADY AVENUE,MORRIS PARK/VAN NEST,D4  -ELEVATOR,       58,1932,67500,986175,     14.61,466425,6.91,519750,3770000,     55.85
2-04289-0015,762 BRADY AVENUE,MORRIS PARK/VAN NEST,D4  -ELEVATOR,       55,1932,54184,903247,     16.67,469233,8.66,434014,3254000,     60.05
2-04289-0020,764 BRADY AVENUE,MORRIS PARK/VAN NEST,D4  -ELEVATOR,      210,1933,94000,2006900,     21.35,1036820,11.03,970080,7617000,     81.03
2-03006-0026,1000 FREEMAN STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       73,1931,64727,1216868,     18.80,700346,10.82,516521,3971000,     61.35
2-02721-0043,1015 LONGWOOD AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       23,1931,20580,341422,     16.59,201478,9.79,139944,1049000,     50.97
2-02721-0042,1019 LONGWOOD AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       16,1931,18300,290055,     15.85,171105,9.35,118950,881000,     48.14
2-02717-0070,1020 TIFFANY STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       13,1931,10055,172946,     17.20,81244,8.08,91702,693000,     68.92
2-02683-0100,1021 AVENUE ST JOHN,MORRISANIA/LONGWOOD,C6  -WALK-UP,       81,1925,61878,863817,     13.96,509875,8.24,353942,2533000,     40.94
2-02720-0041,1025 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       54,1924,41010,1061749,     25.89,366219,8.93,695530,5585000,    136.19
2-02717-0048,1049 FOX STREET,MORRISANIA/LONGWOOD,D4  -ELEVATOR,       42,1915,42000,797580,     18.99,452760,10.78,344820,2656000,     63.24
2-02751-0008,1096 WEST FARMS ROAD,MORRISANIA/LONGWOOD,C6  -WALK-UP,       15,1910,14575,206528,     14.17,128406,8.81,78122,562000,     38.56
2-02608-0022,1103 FRANKLIN AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1917,24750,300218,     12.13,162113,6.55,138105,945000,     38.18
2-02608-0019,1109 FRANKLIN AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1917,24750,311108,     12.57,172508,6.97,138600,960000,     38.79
2-02727-0039,1111 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,C6  -WALK-UP,       26,1925,21917,301359,     13.75,175994,8.03,125365,893000,     40.74
2-02744-0060,1116 HOE AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       24,1914,21025,297924,     14.17,181446,8.63,116479,837000,     39.81
2-02609-0051,1165 FULTON AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       40,1927,36560,455903,     12.47,280415,7.67,175488,1212000,     33.15
2-02663-0004,1218 BOSTON ROAD,MORRISANIA/LONGWOOD,C6  -WALK-UP,       13,1905,14516,198289,     13.66,115402,7.95,82886,589000,     40.58
2-02615-0055,1225 BOSTON ROAD,MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1905,24930,353258,     14.17,219633,8.81,133625,961000,     38.55
2-02663-0011,1230 BOSTON ROAD,MORRISANIA/LONGWOOD,C6  -WALK-UP,       20,1909,21500,308310,     14.34,168560,7.84,139750,1009000,     46.93
2-02933-0016,1342 FRANKLIN AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       20,1920,23770,384361,     16.17,210840,8.87,173521,1292000,     54.35
2-02972-0034,1347 BRISTOW STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1930,22735,381266,     16.77,229624,10.1,151642,1139000,     50.10
2-02933-0029,1372 FRANKLIN AVENUE,MORRISANIA/LONGWOOD,D4  -ELEVATOR,       48,1931,48852,783098,     16.03,500733,10.25,282365,2098000,     42.95
2-02962-0044,1409 PROSPECT AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       11,1904,14175,183850,     12.97,105037,7.41,78813,551000,     38.87
2-02373-0043,3531 3 AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       15,1920,12651,192801,     15.24,101081,7.99,91720,673000,     53.20
2-02375-0029,425 EAST 153 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1912,17220,245729,     14.27,150675,8.75,95054,685000,     39.78
2-02360-0070,530 EAST 159 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       46,1928,46210,645092,     13.96,400179,8.66,244913,1755000,     37.98
2-02683-0052,547 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,C6  -WALK-UP,       19,1906,16875,230175,     13.64,112725,6.68,117450,835000,     49.48
2-02683-0041,571 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,C6  -WALK-UP,       42,1907,25926,532520,     20.54,313186,12.08,219334,1712000,     66.03
2-02603-0024,590 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,C6  -WALK-UP,       29,1924,26742,427337,     15.98,239341,8.95,187996,1396000,     52.20
2-02931-0098,605 EAST 169 STREET,MORRISANIA/LONGWOOD,D4  -ELEVATOR,       35,1931,41580,590436,     14.20,342619,8.24,247817,1783000,     42.88
2-02935-0008,620 EAST 170 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       15,1906,20655,275538,     13.34,125996,6.1,149542,1056000,     51.13
2-02935-0001,625 JEFFERSON PLACE,MORRISANIA/LONGWOOD,D4  -ELEVATOR,       16,1906,17100,266247,     15.57,150309,8.79,115938,855000,     50.00
2-02935-0010,630 EAST 170 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       15,1906,19001,253473,     13.34,133007,7,120466,850000,     44.73
2-02935-0012,636 EAST 170 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       15,1906,19001,253473,     13.34,133007,7,120466,850000,     44.73
2-02707-0030,715 FOX STREET,MORRISANIA/LONGWOOD,D4  -ELEVATOR,       50,2008,60373,962949,     15.95,476947,7.9,486003,3606000,     59.73
2-02961-0015,757 EAST 169 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       32,1926,26347,481360,     18.27,285338,10.83,196022,1499000,     56.89
2-02962-0054,759 JENNINGS STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       16,1904,14300,203775,     14.25,114400,8,89375,644000,     45.03
2-02962-0052,763 JENNINGS STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       16,1904,14300,203775,     14.25,129844,9.08,73931,532000,     37.20
2-02962-0046,775 JENNINGS STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       16,1904,16875,244519,     14.49,147656,8.75,96863,701000,     41.54
2-02721-0020,829 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,C6  -WALK-UP,       49,1925,31335,496660,     15.85,292982,9.35,203678,1509000,     48.16
2-02732-0021,850 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,C6  -WALK-UP,       58,1923,41874,662865,     15.83,403665,9.64,259200,1920000,     45.85
2-02688-0035,853 MACY PLACE,MORRISANIA/LONGWOOD,D4  -ELEVATOR,       63,2009,69640,1233324,     17.71,543888,7.81,689436,5240000,     75.24
2-02722-0001,854 INTERVALE AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       18,1931,10220,147986,     14.48,59174,5.79,88812,642000,     62.82
2-02638-0001,872 TRINITY AVENUE,MORRISANIA/LONGWOOD,D4  -ELEVATOR,      320,1960,292000,4885160,     16.73,2686400,9.2,2198760,16496000,     56.49
2-02691-0117,883 EAST 165 STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       38,1907,29664,510517,     17.21,319778,10.78,190740,1441000,     48.58
2-02627-0005,902 EAGLE AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1914,21295,282159,     13.25,183137,8.6,99022,698000,     32.78
2-02627-0007,906 EAGLE AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1914,21295,303880,     14.27,179304,8.42,124576,898000,     42.17
2-02723-0028,906 SIMPSON STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       31,1925,34875,495574,     14.21,282139,8.09,213435,1536000,     44.04
2-02723-0029,914 SIMPSON STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       31,1925,34875,661579,     18.97,370373,10.62,291206,2242000,     64.29
2-02711-0021,921 TIFFANY STREET,MORRISANIA/LONGWOOD,C6  -WALK-UP,       18,1989,14000,227640,     16.26,122500,8.75,105140,784000,     56.00
2-02698-0063,941 ROGERS PLACE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       20,1925,16950,274590,     16.20,166619,9.83,107972,804000,     47.43
2-02746-0021,946 HOE AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       20,1913,17550,246051,     14.02,153914,8.77,92138,660000,     37.61
2-02746-0023,950 HOE AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       20,1913,17550,248684,     14.17,154616,8.81,94068,676000,     38.52
2-02669-0050,975 UNION AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       35,1912,33790,428457,     12.68,271672,8.04,156786,1089000,     32.23
2-02684-0074,986 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C6  -WALK-UP,       21,1916,16950,293574,     17.32,176789,10.43,116786,883000,     52.09
2-02301-0004,330 EAST 139 STREET,MOTT HAVEN/PORT MORRIS,C6  -WALK-UP,       11,1931,9415,129080,     13.71,61951,6.58,67129,478000,     50.77
2-02293-0041,426 EAST 149 STREET,MOTT HAVEN/PORT MORRIS,C6  -WALK-UP,       11,1905,10845,221130,     20.39,131225,12.1,89905,701000,     64.64
2-02600-0131,490 SOUTHERN BOULEVARD,MOTT HAVEN/PORT MORRIS,C6  -WALK-UP,      139,1929,275000,3426500,     12.46,1886500,6.86,1540000,10631000,     38.66
2-02582-0061,823 EAST 147 STREET,MOTT HAVEN/PORT MORRIS,C6  -WALK-UP,       38,1920,25980,395935,     15.24,237457,9.14,158478,1161000,     44.69
2-02826-0024,110 EAST 176 STREET,MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       38,1924,28100,522660,     18.60,261330,9.3,261330,2005000,     71.35
2-02821-0052,1561 SHERIDAN AVENUE,MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       68,1928,74462,1164586,     15.64,603887,8.11,560699,4142000,     55.63
2-02791-0054,1685 TOPPING AVENUE,MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       43,1931,33000,613800,     18.60,368280,11.16,245520,1883000,     57.06
2-02791-0052,1695 TOPPING AVENUE,MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       27,1926,17000,281690,     16.57,152150,8.95,129540,970000,     57.06
2-02849-0028,1723 TOWNSEND AVENUE,MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       21,1926,24900,339636,     13.64,181023,7.27,158613,1128000,     45.30
2-02850-0040,1770 TOWNSEND AVENUE,MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       57,1925,44440,684376,     15.40,397738,8.95,286638,2108000,     47.43
2-02826-0011,1770 WALTON AVENUE,MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       37,1925,29600,455840,     15.40,264920,8.95,190920,1404000,     47.43
2-02799-0022,1776 TOPPING AVENUE,MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       25,1931,21080,368057,     17.46,202157,9.59,165900,1257000,     59.63
2-02802-0005,1854 MONROE AVENUE,MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       26,1915,22500,333225,     14.81,199125,8.85,134100,976000,     43.38
2-02805-0016,1855 GRAND CONCOURSE,MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       44,1936,45000,699300,     15.54,359550,7.99,339750,2504000,     55.64
